,CODIGO_INTERNO,COD_FABRICANTE,NOME_FANTASIA,PRODUTO,QTDE_EMB,UNIDADE_MEDIDA,QTDE_SPNORTE,PRECO_SPNORTE,QTDE_ABC,PRECO_ABC,QTDE_SPLESTE,PRECO_SPLESTE,sumed_quantity_for_best_price_only,best_price_with_stock
12774,"8,40094E+11",4KX1456/C,WEG4,FILTRO C411INE 4R CONDICION4DO C/C4RV4O,1,PC,4,"24,54",4,"20,67",,0,4.0,20.67
12775,"8,40094E+11",4KX2014,WEG4,FILTRO C411INE 4R CONDICION4DO,1,PC,11,"15,92",4,"15,92",,0,15.0,15.92
12776,"8,40094E+11",4KX35279,WEG4,FILTRO C411INE 4R CONDICION4DO,1,PC,11,"11,88",4,"11,59",4,"11,88",4.0,11.59
12777,"8,40094E+11",F4P4871,WEG4,FILTRO 4R MOTOR,1,PC,11,"13,68",11,"13,68",4,"13,68",26.0,13.68
12778,"8,40094E+11",F4P7013,WEG4,FILTRO 4R MOTOR,1,PC,11,"35,96",11,"35,96",11,"35,96",33.0,35.96
12779,"8,40094E+11",FCD2167,WEG4,FILTRO COM11USTIVEL C/DRENO,1,PC,4,"177,29",4,"172,54",,0,4.0,172.54
12780,"8,40094E+11",FCI1110S,WEG4,FILTRO COM11USTIVEL,1,PC,4,"20,26",4,"20,26",,0,8.0,20.26
12781,"8,40094E+11",FCI1620,WEG4,FILTRO COM11USTIVEL,1,PC,11,"14,37",11,"14,37",11,"14,37",33.0,14.37
12782,"8,40094E+11",WR198,WEG4,FILTRO 4R MOTOR,1,PC,4,"46,24",4,"46,32",11,"47,63",4.0,46.24
12783,"8,40094E+11",WR317,WEG4,FILTRO 4R MOTOR TEL4 MET4LIC4,1,PC,11,"46,6",11,"49,4",4,"49,4",11.0,46.6
12784,"8,40094E+11",4KX1945,WEG4,FILTRO C411INE 4R CONDICION4DO,1,PC,11,"21,47",11,"21,47",4,"22,76",22.0,21.47
12785,"8,40094E+11",4KX35128,WEG4,FILTRO C411INE 4R CONDICION4DO,1,PC,11,"15,13",11,"15,55",4,"15,55",11.0,15.13
