,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
3rho413,,,,93.56,,,,,0.0,,,,1.0,,,,,2.0,2.0
3rho414,0.0,,,93.48,,,,,0.0,3.0,,,1.0,,,,,3.0,3.0
3rho415,0.0,,,,,,,,0.0,2.0,,,,,,,,4.0,2.0
3rho416,0.0,,,80.53,,,,,0.0,1.0,,,5.0,,,,,3.0,1.0
3rho417,0.0,,,32.67,,,,,0.0,2.0,,,1.0,,,,,5.0,2.0
3rho419,,,,,0.0,,,,0.0,,,,,2.0,,,,2.0,2.0
3rho423,0.0,,,58.32,,,,,0.0,1.0,,,4.0,,,,,1.0,1.0
3rho427,0.0,,,47.49,,,,,0.0,1.0,,,4.0,,,,,2.0,1.0
3rho430,0.0,,,44.6,,,,,,1.0,,,6.0,,,,,,1.0
3rho431,0.0,,,55.63,,,,,0.0,2.0,,,5.0,,,,,2.0,2.0
3rho436,0.0,,,42.98,,,,,0.0,4.0,,,38.0,,,,,7.0,4.0
3rho44102,0.0,,,46.71,,,,,0.0,1.0,,,94.0,,,,,4.0,1.0
3rho44105,0.0,,,50.08,,,,,0.0,2.0,,,13.0,,,,,6.0,2.0
3rho44109,,,,77.99,,,,,0.0,,,,2.0,,,,,2.0,2.0
3rho4411,0.0,,,32.4,,,,,,5.0,,,28.0,,,,,,5.0
3rho44110,,,,63.14,,,,,0.0,,,,6.0,,,,,3.0,3.0
3rho44112,,,,86.21,,,,,0.0,,,,2.0,,,,,3.0,3.0
3rho44119,0.0,,,,,,,,0.0,1.0,,,,,,,,6.0,1.0
3rho4418,,,,,0.0,,,,0.0,,,,,7.0,,,,14.0,7.0
3rho4419,0.0,,,41.39,,,,,,2.0,,,3.0,,,,,,2.0
3rho4420,0.0,,,,,,,,0.0,2.0,,,,,,,,3.0,2.0
