,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
3rho44109,,,,77.99,,,,,74.87,,,,2.0,,,,,0.0,0.0
3rho4411,39.64,,,32.4,,,,,,0.0,,,28.0,,,,,,28.0
3rho44110,,,,63.14,,,,,60.63,,,,6.0,,,,,0.0,0.0
3rho44112,,,,86.21,,,,,82.75,,,,2.0,,,,,0.0,0.0
3rho44119,68.19,,,,,,,,39.53,0.0,,,,,,,,0.0,0.0
3rho4418,,,,,93.64,,,,75.0,,,,,0.0,,,,0.0,0.0
3rho4419,25.31,,,41.39,,,,,,0.0,,,3.0,,,,,,0.0
3rho4420,140.6,,,,,,,,91.65,0.0,,,,,,,,0.0,0.0
3rho4422,39.46,,,34.64,,,,,33.78,0.0,,,32.0,,,,,0.0,0.0
3rho4423,39.4,,,34.85,,,,,33.99,0.0,,,11.0,,,,,0.0,0.0
3rho4428,,,,46.61,,,,,44.73,,,,52.0,,,,,0.0,0.0
3rho4429,36.27,,,44.57,,,,,43.46,0.0,,,4.0,,,,,0.0,0.0
3rho4430,44.51,,,42.64,,,,,42.25,0.0,,,3.0,,,,,0.0,0.0
3rho4433,65.49,,,42.53,,,,,41.47,0.0,,,1.0,,,,,0.0,0.0
3rho4434,58.48,,,40.51,,,,,39.5,0.0,,,3.0,,,,,0.0,0.0
3rho4435,64.52,,,40.74,,,,,40.03,0.0,,,38.0,,,,,0.0,0.0
3rho4439,,,,60.2,,,,,58.7,,,,7.0,,,,,0.0,0.0
3rho4440,120.92,,,83.1,,,,,79.76,0.0,,,6.0,,,,,0.0,0.0
3rho4443,70.11,,,,,,,,45.18,0.0,,,,,,,,0.0,0.0
3rho4444,14.2,,,,,,,,32.1,0.0,,,,,,,,0.0,0.0
3rho4445,,,,57.51,,,,,56.24,,,,39.0,,,,,0.0,0.0
3rho4446,,,,85.79,,,,,82.35,,,,6.0,,,,,0.0,0.0
3rho4448,106.25,,,,,,,,81.66,0.0,,,,,,,,0.0,0.0
3rho4452,,,,80.72,,,,,77.48,,,,3.0,,,,,0.0,0.0
3rho4453,137.62,,,96.62,,,,,94.22,0.0,,,2.0,,,,,0.0,0.0
3rho4455,29.16,,,33.6,,,,,32.79,0.0,,,6.0,,,,,0.0,0.0
3rho4457,,,,,130.76,,,,86.65,,,,,0.0,,,,0.0,0.0
3rho4460,,,,39.74,,,,,38.74,,,,4.0,,,,,0.0,0.0
3rho4464,,,,,62.15,,,,48.77,,,,,0.0,,,,0.0,0.0
3rho4466,44.71,,,36.83,38.7,,,,35.36,0.0,,,19.0,0.0,,,,0.0,0.0
3rho4469,,,,38.01,,,,,35.78,,,,23.0,,,,,0.0,0.0
3rho4470,70.71,,,56.77,,,,,54.49,0.0,,,4.0,,,,,0.0,0.0
3rho4474,71.0,,,42.49,,,,,41.44,0.0,,,61.0,,,,,0.0,0.0
3rho4476,125.31,,,100.14,,,,,97.64,0.0,,,25.0,,,,,0.0,0.0
3rho4478,58.62,,,36.81,,,,,36.46,0.0,,,41.0,,,,,0.0,0.0
3rho4479,55.37,,,35.22,,,,,33.81,0.0,,,9.0,,,,,0.0,0.0
3rho4484,,,,,97.0,,,,77.7,,,,,0.0,,,,0.0,0.0
3rho4485,,,,95.73,,,,,94.09,,,,7.0,,,,,0.0,0.0
3rho4487,76.4,,,,,,,,51.38,0.0,,,,,,,,0.0,0.0
3rho4488,60.48,,,49.19,,,,,47.96,0.0,,,1.0,,,,,0.0,0.0
3rho4489,76.61,,,50.88,,,,,49.62,0.0,,,19.0,,,,,0.0,0.0
3rho4490,69.73,,,51.68,,,,,49.62,0.0,,,2.0,,,,,0.0,0.0
3rho4491,163.01,,,131.94,,,,,126.68,0.0,,,1.0,,,,,0.0,0.0
3rho5587,,,,,38.21,,,,27.42,,,,,0.0,,,,0.0,0.0
3rho6611,,,,,39.85,,,,35.13,,,,,0.0,,,,0.0,0.0
3rho6615,,,,,58.47,,,,49.98,,,,,0.0,,,,0.0,0.0
3rho6619,,,,,63.64,,,,49.97,,,,,0.0,,,,0.0,0.0
3rho6624,,,,,67.09,,,,53.82,,,,,0.0,,,,0.0,0.0
3rho7703,,,,,103.37,,,,82.54,,,,,0.0,,,,0.0,0.0
3rho7725,,,,,236.38,,,,153.42,,,,,0.0,,,,0.0,0.0
3rho7730,,,,,158.76,,,,143.9,,,,,0.0,,,,0.0,0.0
3rho7731,,,,,179.21,,,,137.79,,,,,0.0,,,,0.0,0.0
3rho7743,,,,,196.87,,,,140.04,,,,,0.0,,,,0.0,0.0
3rho9901,132.49,,,89.38,,,,,87.15,0.0,,,9.0,,,,,0.0,0.0
3rho9902,,,,88.61,54.06,,,,88.47,,,,1.0,0.0,,,,0.0,0.0
3rho9903,143.49,,,94.64,,,,,90.86,0.0,,,7.0,,,,,0.0,0.0
3rho9904,121.65,,,93.55,,,,,89.8,0.0,,,5.0,,,,,0.0,0.0
3rho9905,119.96,,,,,,,,88.6,0.0,,,,,,,,0.0,0.0
3rho9906,155.3,,,94.14,,,,,91.79,0.0,,,9.0,,,,,0.0,0.0
3rho9907,158.68,,,107.88,,,,,105.18,0.0,,,5.0,,,,,0.0,0.0
adacoplam207,,,,,104.16,124.34,,,,,,,,0.0,0.0,,,,0.0
aje087073,20.08,,,11.47,,,,,,0.0,,,58.0,,,,,,58.0
aje087075,29.36,,,20.64,,,,,,0.0,,,28.0,,,,,,28.0
aje087079,18.0,,,10.74,,,,,,0.0,,,74.0,,,,,,74.0
aje087080,14.96,,,8.56,,,,,,0.0,,,6.0,,,,,,6.0
aje087081,16.01,,,9.53,,,,,,0.0,,,60.0,,,,,,60.0
aje087082,28.5,,,27.2,,,,,,0.0,,,3.0,,,,,,3.0
aje087083,56.51,,,45.58,,,,,,0.0,,,14.0,,,,,,14.0
aje087084,16.36,,,9.25,,,,,,0.0,,,42.0,,,,,,42.0
aje087085,31.18,,,24.03,,,,,,0.0,,,86.0,,,,,,86.0
aje087086,38.0,,,24.94,,,,,,0.0,,,53.0,,,,,,53.0
aje087087,30.0,,,22.38,,,,,,0.0,,,46.0,,,,,,46.0
aje087090,19.57,,,12.07,,,,,,0.0,,,11.0,,,,,,11.0
aje087091,17.42,,,9.25,,,,,,0.0,,,38.0,,,,,,38.0
aje087092,15.27,,,8.45,,,,,,0.0,,,4.0,,,,,,4.0
aje087094,48.88,,,52.69,,64.71,,,,0.0,,,1.0,,0.0,,,,0.0
aje087096,40.02,,,51.2,,62.44,,,,0.0,,,11.0,,0.0,,,,0.0
aje087097,79.45,,,69.34,,,,,,0.0,,,5.0,,,,,,5.0
aje087098,21.41,,,18.74,,23.31,,,,0.0,,,7.0,,0.0,,,,7.0
aje087099,20.26,,,21.87,,,,,,0.0,,,1.0,,,,,,0.0
aje087100,76.94,,,52.47,,61.25,,,,0.0,,,21.0,,0.0,,,,21.0
aje087101,51.19,,,56.28,,,,,,0.0,,,1.0,,,,,,0.0
aje087102,34.48,,,31.43,,,,,,0.0,,,7.0,,,,,,7.0
aje087105,19.99,,,14.3,,,,,,0.0,,,205.0,,,,,,205.0
aje087106,49.12,,,55.43,,67.59,,,,0.0,,,1.0,,0.0,,,,0.0
aje087107,136.02,,,92.75,,113.92,,,,0.0,,,13.0,,0.0,,,,13.0
aje087108,48.61,,,34.68,,,,,,0.0,,,154.0,,,,,,154.0
aje087109,50.0,,,35.43,,,,,,0.0,,,31.0,,,,,,31.0
aje087110,35.04,,,26.22,,,,,,0.0,,,420.0,,,,,,420.0
aje087111,45.06,,,30.47,,,,,,0.0,,,88.0,,,,,,88.0
aje087112,78.88,,,71.12,,84.07,,,,0.0,,,5.0,,0.0,,,,5.0
aje087114,78.6,,,65.82,,80.86,,,,0.0,,,3.0,,0.0,,,,3.0
aje087115,35.03,,,31.0,,36.55,,,,0.0,,,1.0,,0.0,,,,1.0
aje087117,152.84,,,124.67,,,,,,0.0,,,3.0,,,,,,3.0
aje087118,,,,61.27,,68.8,,,,,,,1.0,,0.0,,,,1.0
aje087121,34.0,,,30.25,,,,,,0.0,,,13.0,,,,,,13.0
aje087122,59.28,,,68.45,,,,,,0.0,,,5.0,,,,,,0.0
aje087124,20.0,,,12.57,,,,,,0.0,,,69.0,,,,,,69.0
aje087125,71.64,,,56.73,,,,,,0.0,,,52.0,,,,,,52.0
aje087126,,,,74.13,,98.07,,,,,,,66.0,,0.0,,,,66.0
aje087127,,,,116.45,,135.06,,,,,,,1.0,,0.0,,,,1.0
aje087129,60.2,,,61.13,,,,,,0.0,,,7.0,,,,,,0.0
aje087130,44.74,,,61.13,,,,,,0.0,,,3.0,,,,,,0.0
aje087131,49.33,,,36.73,,,,,,0.0,,,3.0,,,,,,3.0
aje087133,33.25,,,40.06,,48.21,,,,0.0,,,5.0,,0.0,,,,0.0
aje087136,77.08,,,81.77,,,,,,0.0,,,1.0,,,,,,0.0
aje087138,80.02,,,64.94,,86.71,,,,0.0,,,47.0,,0.0,,,,47.0
aje087143,203.03,,,,,196.45,,,,0.0,,,,,0.0,,,,0.0
aje087145,54.0,,,38.8,,,,,,0.0,,,70.0,,,,,,70.0
aje087147,84.43,,,72.55,,87.31,,,,0.0,,,5.0,,0.0,,,,5.0
aje087149,82.61,,,64.56,,,,,,0.0,,,3.0,,,,,,3.0
aje087150,27.0,,,18.63,,,,,,0.0,,,110.0,,,,,,110.0
aje087153,102.95,,,84.42,,,,,,0.0,,,4.0,,,,,,4.0
aje087154,56.05,,,45.0,,52.2,,,,0.0,,,6.0,,0.0,,,,6.0
aje087155,54.93,,,40.36,,,,,,0.0,,,31.0,,,,,,31.0
aje087156,19.11,,,10.58,,,,,,0.0,,,4.0,,,,,,4.0
aje087157,19.31,,,11.75,,,,,,0.0,,,2.0,,,,,,2.0
aje087159,63.86,,,,,58.51,,,,0.0,,,,,0.0,,,,0.0
