Filial;Produto;Descricao;NCM;Disponivel;Preco;Marca;Cód.Fabricante
2-SP;32264;BUCHA DA BARRA ESTABILIZADORA DIANT. (20MM)                           ;40169990;0;2,39;JAHU PLACA PRETA              ;
2-SP;32325;RESERVATÓRIO DO PARA-BRISA                                            ;87089990;10;26,32;JAHU PLACA PRETA              ;
2-SP;32400;PORCA RODA (M12X1,25) CH19 CONIC 60                                   ;73181600;120;4,89;JAHU PLACA PRETA              ;
2-SP;32523;ARO DO FAROL DIR./ESQ.                                                ;87089990;> 10.00   ;24,62;JAHU PLACA PRETA              ;
2-SP;32530;ARO DO FAROL ESQ.                                                     ;87089990;5;17,69;JAHU PLACA PRETA              ;
2-SP;32547;ARO DO FAROL DIR.                                                     ;87089990;> 10.00   ;17,4;JAHU PLACA PRETA              ;
2-SP;32684;GRADE RADIADOR (CZA)                                                  ;87082992;0;44,18;JAHU PLACA PRETA              ;
2-SP;32806;FLEXIVEL PRESSAO D.H. (870MM)                                         ;59090000;3;124,97;JAHU PLACA PRETA              ;
2-SP;32929;KIT BARRA ESTABILIZADORA DIANT.(19MM)                                 ;87088000;> 10.00   ;6,88;JAHU PLACA PRETA              ;
2-SP;32936;KIT DA BARRA ESTABILIZADORA DIANT. 20 MM                              ;87088000;> 10.00   ;6,88;JAHU PLACA PRETA              ;
2-SP;33094;CANALETA DA PORTA (C/PESTANA)                                         ;40082900;0;161,76;JAHU PLACA PRETA              ;
2-SP;33469;MANIVELA VIDRO PORTA (BOTÃO PRETO)                                    ;87082999;10;30,76;JAHU PLACA PRETA              ;
2-SP;33476;MANIVELA VIDRO PORTA (BOTÃO MARROM)                                   ;87082999;10;30,35;JAHU PLACA PRETA              ;
2-SP;33537;PONTEIRA PARA-CHOQUE DIANT. ESQ. (PTO)                                ;87081000;2;11,93;JAHU PLACA PRETA              ;
2-SP;33544;PONTEIRA PARA-CHOQUE DIANT. DIR. (PTO)                                ;87081000;3;13,38;JAHU PLACA PRETA              ;
2-SP;33551;PONTEIRA PARA-CHOQUE TRAS. ESQ. (PTO)                                 ;87081000;2;12,01;JAHU PLACA PRETA              ;
2-SP;33568;PONTEIRA PARA-CHOQUE TRAS. DIR. (PTO)                                 ;87081000;3;13,38;JAHU PLACA PRETA              ;
2-SP;33575;PONTEIRA PARA-CHOQUE DIANT. ESQ. (PTO)                                ;87081000;4;20,93;JAHU PLACA PRETA              ;
2-SP;33582;PONTEIRA PARA-CHOQUE DIANT. DIR. (PTO)                                ;87081000;4;20,82;JAHU PLACA PRETA              ;
2-SP;33599;PONTEIRA PARA-CHOQUE TRAS. ESQ. (PTO)                                 ;87081000;10;34,13;JAHU PLACA PRETA              ;
2-SP;33605;PONTEIRA PARA-CHOQUE TRAS. DIR. (PTO)                                 ;87081000;7;34,13;JAHU PLACA PRETA              ;
2-SP;33612;PONTEIRA PARA-CHOQUE TRAS. ESQ. (PTO)                                 ;87081000;6;31,78;JAHU PLACA PRETA              ;
2-SP;33629;PONTEIRA PARA-CHOQUE TRAS. DIR. (PTO)                                 ;87081000;2;31,78;JAHU PLACA PRETA              ;
2-SP;33636;PONTEIRA PARA-CHOQUE DIANT. ESQ. (CZA)                                ;87081000;3;17,23;JAHU PLACA PRETA              ;
2-SP;33643;PONTEIRA PARA-CHOQUE DIANT. DIR. (CZA)                                ;87081000;0;28,73;JAHU PLACA PRETA              ;
2-SP;33667;PONTEIRA PARA-CHOQUE TRAS. DIR. (CZA)                                 ;87081000;2;31,7;JAHU PLACA PRETA              ;
2-SP;33674;PONTEIRA PARA-CHOQUE TRAS. ESQ. (CZA)                                 ;87081000;0;31,7;JAHU PLACA PRETA              ;
2-SP;33681;PONTEIRA PARA-CHOQUE TRAS. DIR. (CZA)                                 ;87081000;0;31,7;JAHU PLACA PRETA              ;
2-SP;33957;CILINDRO DO PORTA-MALAS                                               ;87082993;> 10.00   ;136,1;JAHU PLACA PRETA              ;
2-SP;34169;BUCHA DA BANDEJA DIANT. INF. (ORIG)                                   ;40169990;2;33,95;JAHU PLACA PRETA              ;
2-SP;40061;TAMPA DO ÓLEO DO MOTOR                                                ;40169990;74;2,43;JAHU PLACA PRETA              ;
2-SP;40085;SUPORTE DO ESCAPAMENTO ANEL 62 MM                                     ;40169990;> 100.00  ;0,65;JAHU PLACA PRETA              ;
2-SP;40092;SUPORTE ESCAPAMENTO TRAS.                                             ;40169990;50;1,27;JAHU PLACA PRETA              ;
2-SP;40214;TAMPA DA PORTINHOLA                                                   ;87082999;> 10.00   ;8,13;JAHU PLACA PRETA              ;
2-SP;40221;GUARNICAO JANELA LATERAL MOVEL (PVC 1860MM)                           ;40081900;2;35,59;JAHU PLACA PRETA              ;
2-SP;40269;PONTEIRA PARA-CHOQUE TRAS. ESQ.                                       ;87081000;0;44,94;JAHU PLACA PRETA              ;
2-SP;40276;PONTEIRA PARA-CHOQUE TRAS. DIR.                                       ;87081000;0;44,94;JAHU PLACA PRETA              ;
2-SP;40337;MANGUEIRA DO RADIADOR INF./SUP. (ORIG.)                               ;40093100;> 10.00   ;24,23;JAHU PLACA PRETA              ;
2-SP;40344;MANGUEIRA DA BOMBA D ÁGUA /COL.ADM (PRE AQUECEDOR)                    ;40093100;3;12,89;JAHU PLACA PRETA              ;
2-SP;40634;SUPORTE VIDRO                                                         ;87082999;4;9,48;JAHU PLACA PRETA              ;
2-SP;40733;FLEXÍVEL FREIO DIANT./TRAS. (390MM)                                   ;59090000;6;19,25;JAHU PLACA PRETA              ;
2-SP;40740;FLEXÍVEL FREIO TRAS. (280MM)                                          ;59090000;5;16,95;JAHU PLACA PRETA              ;
2-SP;40771;BOTÃO ALAVANCA ENCOSTO BANCO (PRT)                                    ;87082999;> 20.00   ;2,61;JAHU PLACA PRETA              ;
2-SP;40887;GRAMPO GRADE                                                          ;87089990;20;0,4;JAHU PLACA PRETA              ;
2-SP;40917;GRAMPO DO FRISO LATERAL                                               ;87089990;40;0,33;JAHU PLACA PRETA              ;
2-SP;40955;DOBRADIÇA DA PORTINHOLA                                               ;87089990;> 50.00   ;1,9;JAHU PLACA PRETA              ;
2-SP;41006;MANGUEIRA DA BOMBA D ÁGUA /COL.ADM (PRÉ AQUECEDOR)                    ;40093100;0;10,34;JAHU PLACA PRETA              ;
2-SP;41044;CAPA DO PEDAL DO FREIO/EMBREAGEM                                      ;40169990;> 20.00   ;1,21;JAHU PLACA PRETA              ;
2-SP;41211;ARO DO FAROL ESQ.                                                     ;87089990;2;28,84;JAHU PLACA PRETA              ;
2-SP;41228;ARO DO FAROL DIR.                                                     ;87089990;2;22,04;JAHU PLACA PRETA              ;
2-SP;41235;ARO DO FAROL ESQ.                                                     ;87082999;0;41,47;JAHU PLACA PRETA              ;
2-SP;41242;ARO DO FAROL DIR.                                                     ;87082999;0;41,47;JAHU PLACA PRETA              ;
