COD COMPEL;COD FABRICA;QTDE EMBALAGEM;UNIDADE MEDIDA;DISPONIBILIDADE;PREÇO;FABRICANTE
112034;112034;2;Pc;Indisponível;21,07;TENNECO AUTOMOTIVE BRASIL LTDA.
112234;112234;2;Pc;C;38,4;TENNECO AUTOMOTIVE BRASIL LTDA.
112235;112235;2;Pc;B;35,23;TENNECO AUTOMOTIVE BRASIL LTDA.
112236;112236;2;Pc;C;21,26;TENNECO AUTOMOTIVE BRASIL LTDA.
112237;112237;2;Pc;B;53,97;TENNECO AUTOMOTIVE BRASIL LTDA.
112238;112238;2;Pc;C;12,7;TENNECO AUTOMOTIVE BRASIL LTDA.
112239;112239;2;Pc;B;27,92;TENNECO AUTOMOTIVE BRASIL LTDA.
112240;112240;2;Pc;C;20,09;TENNECO AUTOMOTIVE BRASIL LTDA.
112241;112241;2;Pc;C;14,19;TENNECO AUTOMOTIVE BRASIL LTDA.
112243;112243;2;Pc;C;22,96;TENNECO AUTOMOTIVE BRASIL LTDA.
112356;112356;2;Pc;B;47,77;TENNECO AUTOMOTIVE BRASIL LTDA.
112357;112357;2;Pc;C;37,67;TENNECO AUTOMOTIVE BRASIL LTDA.
112416;112416;2;Pc;B;34,01;TENNECO AUTOMOTIVE BRASIL LTDA.
112417;112417;2;Pc;C;26,45;TENNECO AUTOMOTIVE BRASIL LTDA.
112418;112418;1;Pc;A;29,51;TENNECO AUTOMOTIVE BRASIL LTDA.
112419;112419;2;Pc;B;36,04;TENNECO AUTOMOTIVE BRASIL LTDA.
112431;112431;2;Pc;B;40,75;TENNECO AUTOMOTIVE BRASIL LTDA.
112439;112439;2;Pc;B;50,26;TENNECO AUTOMOTIVE BRASIL LTDA.
112444;112444;2;Pc;B;34,05;TENNECO AUTOMOTIVE BRASIL LTDA.
112445;112445;1;Pc;Indisponível;58,02;TENNECO AUTOMOTIVE BRASIL LTDA.
112447;112447;2;Pc;B;43,32;TENNECO AUTOMOTIVE BRASIL LTDA.
112448;112448;2;Pc;B;53,68;TENNECO AUTOMOTIVE BRASIL LTDA.
112599;112599;2;Pc;C;13,71;TENNECO AUTOMOTIVE BRASIL LTDA.
112602;112602;2;Pc;A;38,19;TENNECO AUTOMOTIVE BRASIL LTDA.
112609;112609;2;Pc;B;44,7;TENNECO AUTOMOTIVE BRASIL LTDA.
112610;112610;2;Pc;B;33,69;TENNECO AUTOMOTIVE BRASIL LTDA.
112716;112716;2;Pc;B;47,25;TENNECO AUTOMOTIVE BRASIL LTDA.
112747;112747;2;Pc;B;18,08;TENNECO AUTOMOTIVE BRASIL LTDA.
112748;112748;2;Pc;B;21,97;TENNECO AUTOMOTIVE BRASIL LTDA.
112750;112750;1;Pc;B;46,21;TENNECO AUTOMOTIVE BRASIL LTDA.
112762;112762;2;Pc;B;67,27;TENNECO AUTOMOTIVE BRASIL LTDA.
112807;112807;2;Pc;A;65,88;TENNECO AUTOMOTIVE BRASIL LTDA.
112808;112808;1;Pc;B;31,96;TENNECO AUTOMOTIVE BRASIL LTDA.
112809;112809;1;Pc;C;34,37;TENNECO AUTOMOTIVE BRASIL LTDA.
112810;112810;2;Pc;A;70,8;TENNECO AUTOMOTIVE BRASIL LTDA.
112811;112811;2;Pc;A;22,55;TENNECO AUTOMOTIVE BRASIL LTDA.
112813;112813;1;Pc;C;30,25;TENNECO AUTOMOTIVE BRASIL LTDA.
112859;112859;1;Pc;A;42,39;TENNECO AUTOMOTIVE BRASIL LTDA.
115445;115445;1;Pc;B;55,06;TENNECO AUTOMOTIVE BRASIL LTDA.
115449;115449;2;Pc;Indisponível;42,19;TENNECO AUTOMOTIVE BRASIL LTDA.
120090;120090;2;Pc;B;16,01;TENNECO AUTOMOTIVE BRASIL LTDA.
120160;120160;2;Pc;Indisponível;33,06;TENNECO AUTOMOTIVE BRASIL LTDA.
120208;120208;2;Pc;A;15;TENNECO AUTOMOTIVE BRASIL LTDA.
120212;120212;2;Pc;A;32,21;TENNECO AUTOMOTIVE BRASIL LTDA.
120314;120314;2;Pc;A;16,82;TENNECO AUTOMOTIVE BRASIL LTDA.
120316;120316;2;Pc;Indisponível;6,66;TENNECO AUTOMOTIVE BRASIL LTDA.
