CODIGO_INTERNO;COD_FABRICANTE;NOME_FANTASIA;PRODUTO;QTDE_EMB;UNIDADE_MEDIDA;QTDE_SPNORTE;PRECO_SPNORTE;QTDE_ABC;PRECO_ABC;QTDE_SPLESTE;PRECO_SPLESTE
89021002369;CRC01006;COFAP;CUBO RODA TRASEIRO C/ROL S/ABS;1;PC;B;181,22;B;181,22;B;181,22
89021002370;CRC04008;COFAP;CUBO RODA DIANTEIRO C/ROL S/ABS;1;PC;B;229,88;B;229,87;B;229,88
89021002404;CRC32002;COFAP;CUBO RODA TRASEIRO C/ROL C/ABS;1;PC;B;303,58;B;276,32;A;303,58
89021002411;CRC08002;COFAP;CUBO RODA DIANTEIRO S/ROL;1;PC;B;79,92;B;56,87;B;79,92
89021002419;CRC04006;COFAP;CUBO RODA TRASEIRO C/ROL S/ABS;1;PC;B;271,99;B;271,98;A;271,99
89021002425;CRC08008;COFAP;CUBO RODA DIANTEIRO C/ROL S/ABS;1;PC;B;360,35;B;391,85;B;391,86
89021002430;CRC18003;COFAP;CUBO RODA TRASEIRO C/ROL S/ABS;1;PC;B;198,63;A;164,39;B;198,63
89021002704;CRC01022;COFAP;CUBO RODA TRASEIRO C/ROL C/ABS;1;PC;B;183,65;B;145,76;B;183,65
89021002706;CRC03027;COFAP;CUBO RODA TRASEIRO C/ROL S/ABS;1;PC;B;165,77;A;124,15;A;165,77
89021002708;CRC03050;COFAP;CUBO RODA DIANTEIRO S/ROL;1;PC;A;58,12;A;66,09;A;86,52
89021002724;CRC32026;COFAP;CUBO RODA DIANTEIRO S/ROL;1;PC;A;126,95;B;126,95;A;126,95
89021002886;CRC01014;COFAP;CUBO RODA TRASEIRO C/ROL C/ABS;1;PC;B;275,75;B;239,59;A;275,75
89021002892;CRC08013;COFAP;CUBO RODA DIANTEIRO S/ROL;1;PC;A;138,22;A;123,85;;0
89031000017;GL13110;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;281,65;B;290,48;B;300,19
89031000018;L12744;COFAP;AMORTECEDOR TRASEIRO SUPER;1;PC;B;187,88;;0;;0
89031000028;GP35984M;COFAP;AMORTECEDOR DIANTEIRO LD -TURBOGAS;1;PC;B;386,64;A;382,19;A;386,64
89031000100;B47509;COFAP;AMORTECEDOR TRASEIRO;1;PC;B;93,11;B;93,11;B;93,11
89031000115;B47561;COFAP;AMORTECEDOR TRASEIRO SUPER;1;PC;B;111,06;;0;B;121,83
89031000162;GP32784;COFAP;AMORTECEDOR DIANTEIRO DIREITO-TURBOGAS;1;PC;B;467,01;B;467,03;A;467,01
89031000195;GB27503;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;263,6;A;246,4;;0
89031000242;GB50954M;COFAP;AMORTECEDOR TRASEIRO-TURBOGAS;1;PC;B;273,93;;0;A;271,57
89031000313;GB48092;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;241,33;A;239,56;B;241,33
89031000314;GB48125;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;196,93;B;192,18;B;199,65
89031000357;GP32914PS;COFAP;AMORTECEDOR DIANTEITO LD POWER SHOCK;1;PC;A;370,2;;0;A;342,4
89031000376;GP35936M;COFAP;AMORTECEDOR DIANTEIRO LD/LE TURBOGAS;1;PC;B;417,34;A;401,99;;0
89031000383;GB29945M;COFAP;AMORTECEDOR TRASEIRO;1;PC;B;272,12;B;261,92;B;271,46
89031000398;GL13377;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;266,02;;0;B;266,02
89031000683;CB27220;COFAP;AMORTECEDOR DE DIRECAO;1;PC;B;246,12;;0;B;261,9
89031000749;MGC16641;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;63,86;B;60,85;;0
89031000752;GB48236;COFAP;AMORTECEDOR TRASEIRO-TURBOGAS;1;PC;B;236,48;A;157,61;A;252,54
89031000780;GL13683;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;424,21;B;429,18;A;417,54
89031000782;SB27016;COFAP;AMORTECEDOR DIANTEIRO SPA;1;PC;B;106,58;B;109,44;B;109,24
89031000783;SB27017;COFAP;AMORTECEDOR TRASEIRO SPA;1;PC;B;111,09;;0;;0
89031000795;SL30021;COFAP;AMORTECEDOR DIANTEIRO SPA;1;PC;A;190,83;;0;B;190,83
89031000870;L12412;COFAP;AMORTECEDOR TRASEIRO SUPER;1;PC;B;170,26;B;170,26;B;168,42
89031000873;G32197;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS CARTUCHO;1;PC;B;210,94;;0;;0
89031000959;L12363;COFAP;AMORTECEDOR TRASEIRO SUPER;1;PC;B;125,48;B;134,69;B;135
89031001016;MGC16512;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;58,08;B;58,08;B;58,08
89031001052;L12134;COFAP;AMORTECEDOR DIANTEIRO SUPER;1;PC;B;188,7;;0;A;173,15
89031001053;L12135;COFAP;AMORTECEDOR TRASEIRO SUPER;1;PC;B;189,77;;0;A;174,1
89031001117;GP32351;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;300,98;B;329,19;A;320,21
89031001143;16246;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;67,13;B;66,59;B;67,13
89031001161;GP30126;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;285,88;B;285,89;B;272,79
89031001310;MGC16642;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;61,14;B;61,42;B;59,74
89031001311;MGC16643;COFAP;AMORTECEDOR MOLA GAS TAMPA TRASEIRA;1;PC;B;62,52;B;62,92;B;62,92
89031001317;GL12831;COFAP;AMORTECEDOR TRASEIRO-TURBOGAS;1;PC;B;351,01;B;343,11;B;343,88
89031001337;GB48003M;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;321,54;A;279,31;A;297,78
89031001339;GP32436;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;348,7;B;348,69;B;348,7
89031001368;GB27395;COFAP;AMORTECEDOR TRASEIRO;1;PC;B;240,47;B;240,91;B;242,96
89031001385;SL30204;COFAP;AMORTECEDOR TRASEIRO SPA;1;PC;B;111,78;B;111,78;A;111,78
89031001392;GP30120;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;256,67;B;250,92;B;251,46
89031001409;GB27320;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;289,3;B;287,04;B;290,43
89031001410;GP32581;COFAP;AMORTECEDOR DIANTEIRO LD TURBOGAS;1;PC;B;447,89;B;447,9;B;445,92
89031001416;GBL1206;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;258,75;B;233,56;A;258,75
89031001526;GL12874;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;A;212,34;B;212,35;B;212,34
89031001535;GP32691;COFAP;AMORTECEDOR DIANTEIRO ESQUERDO TURBOGAS;1;PC;B;434,46;;0;B;434,46
89031001536;GP32692;COFAP;AMORTECEDOR DIANTEIRO DIREITO TURBOGAS;1;PC;B;418,16;B;411,11;B;418,16
89031001590;GP32606;COFAP;AMORTECEDOR DIANTEIRO DIREITO TURBOGAS;1;PC;B;332,98;B;332,99;A;332,98
